,searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,cuisines split
9662,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3518221,-71.055159,1.481690723,Melting Sun Boston,1224206,https://www.doordash.com/store/1224206/?pickup=false,"700 Atlantic Ave, Boston, MA 02111, USA",American|Breakfast|Indian|Sandwiches|Coffee,36 - 46,41,531,4.1,"['American', 'Breakfast', 'Indian', 'Sandwiches', 'Coffee']"
9665,2127,42.3364553,-71.0349193,"371 W Fourth St, Boston, MA 02127, USA",MA,Boston,BO,42.3593119,-71.0549386,1.881145577,Al's Cafe,17961,https://www.doordash.com/store/17961/?pickup=false,"112 State St, Boston, MA 02109, USA",Cafe|Salads|Soup,34 - 44,39,548,4.7,"['Cafe', 'Salads', 'Soup']"
9668,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3433259,-71.0647962,1.597911269,Bostonian Market and Cafe,523754,https://www.doordash.com/store/523754/?pickup=false,"40 Fay St, Boston, MA 02118, USA",Pizza|Soup|Burgers|Sandwiches,31 - 41,36,11,4.1,"['Pizza', 'Soup', 'Burgers', 'Sandwiches']"
9671,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3520201,-71.0428303,1.148748117,GRECO,1287882,https://www.doordash.com/store/1287882/?pickup=false,"200 Pier Four Blvd, Boston, MA 02210, USA",Mediterranean|Greek|Salads,29 - 39,34,765,4.7,"['Mediterranean', 'Greek', 'Salads']"
9674,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3513535,-71.0630597,1.767616847,Penang Restaurant,992867,https://www.doordash.com/store/992867/?pickup=false,"Penang Malaysian Cuisine, 685 Washington St, Boston, MA 02116, USA",Malaysian|Noodles|Dessert|Soup|Seafood,42 - 52,47,606,4.6,"['Malaysian', 'Noodles', 'Dessert', 'Soup', 'Seafood']"
9677,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3251756,-71.0617863,1.578110457,Wahlburgers,876273,https://www.doordash.com/store/876273/?pickup=false,"Wahlburgers, 9 District Ave, Boston, MA 02125, USA",American|Burgers|Sandwiches,28 - 38,33,854,4.4,"['American', 'Burgers', 'Sandwiches']"
9680,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3510528,-71.0604784,1.649447691,Tea Do,267603,https://www.doordash.com/store/267603/?pickup=false,"8 Tyler St, Boston, MA 02111, USA",Coffee & Tea|Smoothies|Bubble Tea|Snacks,41 - 51,46,437,4.8,"['Coffee & Tea', 'Smoothies', 'Bubble Tea', 'Snacks']"
9683,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3551544,-71.0580874,1.75176377,Boston News Cafe,267653,https://www.doordash.com/store/267653/?pickup=false,"80 Arch St, Boston, MA 02110, USA",Cafe|Breakfast|Coffee & Tea|Sandwiches|Salads,32 - 42,37,10,4.9,"['Cafe', 'Breakfast', 'Coffee & Tea', 'Sandwiches', 'Salads']"
9686,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.360211,-71.055324,1.944058729,Steve’s Greek Cuisine,563770,https://www.doordash.com/store/563770/?pickup=false,"Steve's Greek Cuisine, 1 Faneuil Hall Square, Boston, MA 02109, USA",Greek|Dessert|Salads|Wraps|Soup,34 - 44,39,19,3.3,"['Greek', 'Dessert', 'Salads', 'Wraps', 'Soup']"
9689,2118,42.3377967,-71.0705763,"157 W Canton St, Boston, MA 02118, USA",MA,Boston,BO,42.3552702,-71.0625677,1.919133202,Herrera's Mexican Grill,1031565,https://www.doordash.com/store/1031565/?pickup=false,"11 Temple Pl, Boston, MA 02111, USA",Mexican|Breakfast|Salads|Quesadillas|Burritos,31 - 41,36,37,4.6,"['Mexican', 'Breakfast', 'Salads', 'Quesadillas', 'Burritos']"
